       0.00000           40
      15.69866           40
      18.69538           40
      19.98304           40
      20.56385           40
      21.06356           38
      21.06391           37
      21.06406           36
      21.06688           35
      21.06774           34
      21.06808           33
      21.06936           32
      21.07062           31
      21.07215           30
      21.07337           29
      21.07338           28
      21.07410           27
      21.07512           26
      21.07529           25
      21.07926           24
      21.08734           23
      47.61744           21
      48.82088           21
      48.82405           20
      48.82510           19
      55.20932           18
      57.30467           19
      59.87865           18
      68.17982           17
      82.59740           16
      83.25239           19
      85.68816           18
      90.66704           18
      91.69415           20
      91.69808           19
      91.99898           17
      92.17302           19
      95.72656           18
      96.38290           18
     102.18274           17
     103.25422           17
     105.30553           17
     110.30961           16
     110.69983           17
     113.93237           16
     114.10939           17
     117.21169           16
     122.83822           15
     125.36828           15
     127.55542           15
     131.30211           14
     132.09700           17
     132.36865           17
     134.97469           16
     146.61430           15
     147.17124           16
     149.62404           15
     152.21303           15
     154.13802           15
     154.95337           15
     158.74962           16
     160.27825           14
     161.99266           16
     163.33829           16
     164.67950           16
     166.12012           17
     170.68239           15
     172.82924           16
     173.11358           17
     173.17761           16
     173.32884           16
     174.04229           16
     174.74242           18
     175.03835           18
     175.28004           17
     175.75384           17
     175.78663           16
     175.93644           16
     176.08348           15
     178.29003           15
     183.55925           14
     184.50703           14
     190.45952           13
     190.56784           14
     193.67153           13
     193.85095           14
     195.27756           14
     197.69168           14
     197.74712           13
     199.04067           16
     199.45881           16
     201.61613           16
     203.82631           15
     206.70242           15
     208.14803           14
     210.93068           13
     212.59176           13
     212.89748           13
     213.90345           13
     215.67837           13
     215.83224           14
