
         0.00000      .100D+01      .101D+01

        15.69866      .293D+01      .293D+01

        18.69538      .310D+01      .310D+01

        19.98304      .317D+01      .317D+01

        20.56385      .320D+01      .320D+01

        21.06356      .322D+01      .406D+01

        21.06391      .322D+01      .406D+01

        21.06406      .322D+01      .406D+01

        21.06688      .322D+01      .406D+01

        21.06774      .322D+01      .406D+01

        21.06808      .322D+01      .406D+01

        21.06936      .322D+01      .406D+01

        21.07062      .322D+01      .406D+01

        21.07215      .322D+01      .406D+01

        21.07337      .322D+01      .406D+01

        21.07338      .322D+01      .406D+01

        21.07410      .322D+01      .406D+01

        21.07512      .322D+01      .406D+01

        21.07529      .322D+01      .406D+01

        21.07926      .322D+01      .406D+01

        21.08734      .322D+01      .406D+01

        47.61744      .448D+01      .627D+01

        48.82088      .113D+01      .631D+01

        48.82405      .113D+01      .631D+01

        48.82510      .113D+01      .631D+01

        55.20932      .222D+01      .655D+01

        57.30467      .132D+01      .662D+01

        59.87865      .191D+01      .670D+01

        68.17982      .570D+01      .694D+01

        82.59740      .611D+01      .814D+01

        83.25239      .903D+00      .824D+01

        85.68816      .138D+01      .830D+01

        90.66704      .192D+01      .842D+01

        91.69415      .105D+01      .844D+01

        91.69808      .105D+01      .845D+01

        91.99898      .118D+01      .845D+01

        92.17302      .579D+00      .846D+01

        95.72656      .154D+01      .853D+01

        96.38290      .101D+01      .854D+01

       102.18274      .190D+01      .876D+01

       103.25422      .114D+01      .878D+01

       105.30553      .140D+01      .883D+01

       110.30961      .202D+01      .895D+01

       110.69983      .793D+00      .896D+01

       113.93237      .140D+01      .902D+01

       114.10939      .590D+00      .902D+01

       117.21169      .147D+01      .908D+01

       122.83822      .191D+01      .925D+01

       125.36828      .164D+01      .931D+01

       127.55542      .135D+01      .935D+01

       131.30211      .183D+01      .101D+02

       132.09700      .959D+00      .101D+02

       132.36865      .661D+00      .101D+02

       134.97469      .113D+01      .102D+02

       146.61430      .261D+01      .104D+02

       147.17124      .925D+00      .104D+02

       149.62404      .137D+01      .105D+02

       152.21303      .151D+01      .105D+02

       154.13802      .136D+01      .106D+02

       154.95337      .104D+01      .106D+02

       158.74962      .157D+01      .106D+02

       160.27825      .188D+01      .106D+02

       161.99266      .127D+01      .107D+02

       163.33829      .136D+01      .107D+02

       164.67950      .123D+01      .111D+02

       166.12012      .116D+01      .111D+02

       170.68239      .175D+01      .112D+02

       172.82924      .132D+01      .112D+02

       173.11358      .687D+00      .112D+02

       173.17761      .762D+00      .112D+02

       173.32884      .635D+00      .112D+02

       174.04229      .101D+01      .113D+02

       174.74242      .914D+00      .113D+02

       175.03835      .704D+00      .113D+02

       175.28004      .799D+00      .113D+02

       175.75384      .825D+00      .113D+02

       175.78663      .844D+00      .113D+02

       175.93644      .631D+00      .113D+02

       176.08348      .747D+00      .113D+02

       178.29003      .140D+01      .113D+02

       183.55925      .217D+01      .114D+02

       184.50703      .102D+01      .114D+02

       190.45952      .186D+01      .116D+02

       190.56784      .502D+00      .116D+02

       193.67153      .115D+01      .117D+02

       193.85095      .575D+00      .118D+02

       195.27756      .111D+01      .118D+02

       197.69168      .139D+01      .118D+02

       197.74712      .140D+01      .123D+02

       199.04067      .114D+01      .124D+02

       199.45881      .765D+00      .124D+02

       201.61613      .144D+01      .124D+02

       203.82631      .177D+01      .124D+02

       206.70242      .157D+01      .125D+02

       208.14803      .177D+01      .125D+02

       210.93068      .207D+01      .125D+02

       212.59176      .140D+01      .125D+02

       212.89748      .725D+00      .125D+02

       213.90345      .958D+00      .126D+02

       215.67837      .154D+01      .126D+02

       215.83224      .546D+00      .126D+02
